"Curve number","Curve identifier","Curve type","RMSE (min-W, all Ci)","Vcmax_at_25 (min-W, all Ci)","J_at_25 (min-W, all Ci)","Tp_at_25 (min-W, all Ci)","alpha_old (min-W, all Ci)","RL_at_25 (min-W, all Ci)","RMSE (min-W, Ci above threshold)","Vcmax_at_25 (min-W, Ci above threshold)","J_at_25 (min-W, Ci above threshold)","Tp_at_25 (min-W, Ci above threshold)","alpha_old (min-W, Ci above threshold)","RL_at_25 (min-W, Ci above threshold)","RMSE (min-A, all Ci)","Vcmax_at_25 (min-A, all Ci)","J_at_25 (min-A, all Ci)","Tp_at_25 (min-A, all Ci)","alpha_old (min-A, all Ci)","RL_at_25 (min-A, all Ci)","RMSE (min-A, Ci above threshold)","Vcmax_at_25 (min-A, Ci above threshold)","J_at_25 (min-A, Ci above threshold)","Tp_at_25 (min-A, Ci above threshold)","alpha_old (min-A, Ci above threshold)","RL_at_25 (min-A, Ci above threshold)"
1,"1000 - wt-5 - mcgrath1","with Ad",1.32416253658068,78.6506303437544,NA,9.73392904149059,0.575051865038968,2.27174150474489,1.44122951869336,79.5768499546205,NA,9.79279211604014,0.573243410258132,2.4526598476047,1.61457263447545,74.9253663129672,149.11596869485,9.49201930585226,0.587746182988196,1.55009245257806,1.44123001477953,79.5549771954234,NA,9.79303105949766,0.572093791889404,2.45026152210707
2,"500 - wt-9 - mcgrath1","with Ad",0.973827666001118,60.5361593890541,NA,7.10069419668465,0.629860039835571,1.96914569039037,1.04539953544832,61.3096835228562,NA,6.96271996166878,0.819694825535984,2.13994325559003,1.12312358239734,58.7752560584625,112.654444447837,6.77544694648878,0.83710379664209,1.57455162006373,1.04540147085578,61.3237331261252,NA,6.9665778699525,0.815522771973099,2.14180182591165
3,"400 - wt-2 - mcgrath1","with Ad",0.575768117192134,55.9561722146261,NA,7.51696435450588,0.000140995691757875,1.70906132222003,0.621872995574785,55.3208059132045,NA,7.49464109514367,0.000898226063539294,1.64580626546247,0.869187446772937,53.2284567225221,102.281620055103,7.32797307416647,0.00166715031163682,1.15187823213246,0.621872695895168,55.3140038072581,NA,7.49417731987043,0.00174492704571423,1.64550859070857
4,"300 - wt-9 - ripe5","with Ad",0.417527349925243,62.7068449085221,88.2289901341038,NA,NA,1.32268147530422,0.454981565099936,61.0833341295132,87.2061762365435,NA,NA,1.11876055739743,0.938679021254501,50.691978429266,82.2633722023618,NA,NA,0.0505480429078179,0.454980438817297,61.0829331095979,87.2183168410106,NA,NA,1.11934302386872
5,"150 - wt-6 - ripe5","with Ad",0.236703407608933,40.5840953603781,48.1257457957945,NA,NA,1.25202514604553,0.25738632460277,40.8062897306489,48.2220099628306,NA,NA,1.27157767185365,0.520795176173466,31.104949314433,44.7224698731745,NA,NA,0.541256718351809,0.257386324477359,40.8064196872526,48.2220426614635,NA,NA,1.27157648145559
6,"400 - wt-3 - ripe5","with Ad",0.249041501010103,64.5371343894016,114.626948220192,7.17263401600126,0.777048845354548,2.13993971427507,0.269188673923794,64.387554211478,114.49971313946,7.16424569663607,0.777154388215356,2.112897901286,0.764713833561053,61.176419032265,110.807446887397,6.97306644087344,0.794288016256939,1.53740346962264,0.269190726056391,64.3789930009665,114.494294980064,7.16272177817755,0.778881440351533,2.11138132183182
7,"1000 - wt-1 - mcgrath1","with Ad",0.498597827319794,65.7656090179428,NA,6.48512949062041,1.06208902921079,1.58470314613111,0.498367906280308,66.7486228320311,NA,6.55940007918306,1.05268740181857,1.80980701032623,1.54577674605311,59.7867221702452,110.655831399804,5.96068903189769,1.27513290550046,0.390097851141229,0.498368212093993,66.7403928591367,NA,6.55872584634804,1.05293725600829,1.80845349264403
8,"400 - wt-9 - mcgrath1","with Ad",0.239793102845875,69.028515181271,103.734466440689,6.86576427461252,0.610481322268416,1.61000939006947,0.230129266736978,68.7288512301472,103.547173137101,6.8338577012393,0.626809779004782,1.56939969246896,0.899357167787,61.1320367194977,97.9427231377585,6.41026050230562,0.799176465545399,0.604028994259737,0.230120354757167,68.7560214352989,103.540838920979,6.83716730300583,0.623376492471375,1.56962270491434
9,"250 - wt-5 - ripe5","with Ad",0.366318784011707,55.2739603558904,77.533827120575,NA,NA,1.265029751262,0.355622054039438,52.6965154508841,75.8268292473645,NA,NA,0.924558677329202,0.780077992079161,45.3770023156339,72.1742595971168,NA,NA,0.174901457225911,0.355601972622102,52.7320045625621,75.8696915601668,NA,NA,0.931956030206836
10,"100 - wt-7 - ripe5","with Ad",0.220088786914988,NA,33.6860108181371,NA,NA,1.62300329883011,0.204139516714153,NA,33.909688049422,NA,NA,1.66126345197548,0.255797531816948,25.3544683759252,30.8423406574454,NA,NA,1.03136875467417,0.204139620889107,NA,33.9076293823152,NA,NA,1.66050964123377
11,"600 - wt-9 - mcgrath1","with Ad",0.184773058576287,71.2776117524007,117.574871509727,6.89107432443696,0.810732234328458,1.36601574825565,0.155576614221515,70.757412806167,117.117161142607,6.86278490685507,0.812893397123354,1.28058200597908,1.31156739085918,61.6945221018717,107.013576225186,6.2376781492169,1.01670814904836,-0.233401434843425,0.155578902345893,70.7566451089805,117.112357912105,6.8622251723342,0.812922852702968,1.27859759470772
12,"1500 - wt-10 - mcgrath2","with Ad",0.471158632685048,86.7039439441595,168.283033978255,9.09092286156755,1.35788715607702,2.01497609440232,0.441396875658366,87.0423061663071,168.702773343379,9.12734001289036,1.34777632122807,2.09408487128723,1.22680344066061,81.355652605609,160.130032591101,8.73281718948728,1.39350295215756,0.900300541400334,0.441382182399083,87.0838674574659,168.74964777026,9.12982490761697,1.34775842470069,2.09864379066688
13,"800 - wt-5 - mcgrath1","with Ad",0.177933122329712,78.9700449809534,144.815936444389,7.76199733131768,1.08275361848039,1.38720148917147,0.144776155759769,79.9220155133267,145.836275079597,7.82702677610084,1.07569030071775,1.58222478203033,2.15464859209918,68.4379959647647,126.931506774494,6.84611367507852,1.38655955476266,-0.760624827145347,0.144776260688877,79.9403016880893,145.854203734547,7.82731033164179,1.07646595565964,1.58534442117642
14,"1500 - wt-7 - mcgrath1","with Ad",0.293814904516409,96.2020829942156,174.074100638496,10.2731693515421,0.954374945209699,1.88506281115012,0.259184724012995,97.2367886318862,175.093001637599,10.3444588843741,0.946893492562297,2.08715361396685,1.90980987228114,87.3824010000835,160.256503995778,9.66740557553123,0.999145147697729,0.0517149245181622,0.259185687801441,97.2300075113206,175.102014710774,10.3438301070741,0.947316062481582,2.08692947073871
