"citation","tpu_c_lim"
"Gu et al. (2010)","biochem"
"Bellasio et al. (2015)","none"
"Collatz et al. (1991)","none"
"Dubois (2007)","none"
"Foley et al. (1996)","none"
"Long & Bernacchi (2003)","none"
"Moualeu-Ngangue et al. (2016)","none"
"Parsons et al. (1997)","none"
"Sellers et al. (1992)","none"
"Sellers et al. (1996)","none"
"Sharkey et al. (2007)","none"
"von Caemmerer (2000)","none"
"Wullschleger (1993)","none"
"Bonan et al. (2014)",NA
"de Pury & Farquhar (1997)",NA
"Duursma (2015)",NA
"Ethier & Livingston (2004)",NA
"Franks et al. (2014)",NA
"Gregory et al. (2021)",NA
"Harley et al. (1992)",NA
"Haxeltine & Prentice (1996)",NA
"Krinner et al. (2005)",NA
"Leuning (1995)",NA
"Long (1991)",NA
"Medlyn et al. (2002)",NA
"Sharkey (2015)",NA
"Smith & Dukes (2012)",NA
"Stinziano et al. (2021)",NA
"Stitt (1991)",NA
"Walker et al. (2014)",NA
"Xiao et al. (2021)",NA
"Yamori et al. (2014)",NA
